,0
meds_cardiovascular,0.11718820371337352
esi,0.09029799994651448
meds_gastrointestinal,0.07715701213898876
meds_analgesics,0.04989877561316194
pressure_index,0.049158020711874105
high_acuity,0.04447704736774023
meds_vitamins,0.042582634636269316
meds_elect/caloric/h2o,0.04085552869092637
meds_psychotherapeuticdrugs,0.03949604144283161
age,0.03853764584907106
meds_antiplateletdrugs,0.038448619786975606
meds_diuretics,0.0319182533206337
meds_cardiacdrugs,0.029604243451374832
meds_antiasthmatics,0.022137328619664647
meds_cnsdrugs,0.021826340604290263
complexity_score,0.017231081132941584
n_admissions,0.016963626992390034
meds_antihyperglycemics,0.014963606501436525
prior_admission,0.013987392939943047
meds_unclassifieddrugproducts,0.012230271096697847
meds_anticoagulants,0.011737743983812358
htn,0.011114277646555194
meds_antiarthritics,0.008620972309856423
meds_thyroidpreps,0.007967850328732267
meds_eentpreps,0.007621802196598846
meds_hormones,0.006376147027325618
meds_antibiotics,0.006243406638558417
o2_device_max,0.0055712890611306735
cxr_count,0.005290901816197401
ekg_count,0.00527031521146765
meds_skinpreps,0.003790692271571871
cc_shortnessofbreath,0.0037416597038994583
triage_vital_hr,0.0035652783430650467
spo2_min,0.003543050029047952
meds_antihistamines,0.003369913166410951
n_surgeries,0.003139564407940613
"meds_miscellaneousmedicalsupplies,devices,non-drug",0.003074416060626203
chfnonhp,0.00304708643342654
hyperlipidem,0.00292138109263199
coronathero,0.0027552284198847808
n_edvisits,0.0025916776448521527
diabmelnoc,0.0023816775936659996
chrkidneydisease,0.002364249843239959
cc_alcoholintoxication,0.002336248239675491
triage_vital_o2_device,0.002329185973554511
triage_vital_sbp,0.002319541880888952
sbp_max,0.002234365141492685
dbp_min,0.0021763692326820755
dysrhythmia,0.0021229057404532153
resp_max,0.0021071347113248706
cc_alteredmentalstatus,0.0018797552175005335
spo2_median,0.0018334151283784198
triage_vital_dbp,0.0017766554866591256
cc_abdominalpain,0.0017575506104326455
copd,0.0017424000229597913
o2_device_median,0.0016915775263507712
pregtestur_count,0.001477046662372853
meds_autonomicdrugs,0.0014465835831130132
meds_anesthetics,0.0013609084136646298
bloodua_count,0.001297006737266864
meds_musclerelaxants,0.0011891790418449306
meds_sedative/hypnotics,0.0011297265210981201
nitriteua_count,0.0011113657864959736
dbp_median,0.0011021676533806337
o2_device_last,0.001097416438851893
otherct_count,0.0010907314097185275
meds_cough/coldpreparations,0.001050533917169587
meds_antifungals,0.0010215125616692816
frequent_visitor,0.0009860710289717372
dbp_max,0.0008255711400130516
"bloodculture,routine_count",0.0008249377856584606
triage_vital_temp,0.0008045760113352555
temp_max,0.000798674760528582
leukocytesua_count,0.0007437916160458931
unclassified,0.0007427914253231794
glucoseua_count,0.0007188447108778261
meds_antineoplastics,0.0007125367248645721
ketonesua_count,0.0006920828030204269
dbp_last,0.0006851266893572425
triage_vital_o2,0.0006781891602033275
acutecvd,0.0006247781635005843
pulse_max,0.0006238409887703561
deliriumdementiaamnesticothercognitiv,0.0006221317382000052
meds_antivirals,0.0005836750654896199
temp_min,0.0005729959403913236
triage_vital_rr,0.000570219114396289
resp_median,0.000556366658248976
meds_antiparkinsondrugs,0.0005541972940045661
proteinua_npos,0.0005495619773921796
cc_strokealert,0.0005369698551768509
sbp_median,0.0005359305701250146
pulse_min,0.0005345130928342093
proteinua_count,0.0005327180714572436
sbp_min,0.0005319611835470307
sbp_last,0.0004793210542390175
meds_diagnostic,0.00047267181989700205
pulse_median,0.000451391104034638
cc_neurologicproblem,0.000438729580442785
temp_median,0.00042701800094253987
peripathero,0.0004200441349173071
socialadmin,0.0004065335558742948
esophgealdx,0.0003499139494110758
otjointdx,0.00033540696860514694
cc_weakness,0.0003270289249638038
pulse_last,0.00031298645328732577
cc_chestpain,0.0003056509467031165
headct_count,0.00028856225628110936
resp_min,0.0002878397730086865
alcoholrelateddisorders,0.00027513531668826315
leukocytesua_npos,0.0002612852175649886
cc_suicidal,0.00023799437387578967
cc_abnormallab,0.00023775287516693166
cc_motorvehiclecrash,0.0002376745046036835
otherxr_count,0.00023145513774960717
anxietydisorders,0.0002209843906344154
bloodua_npos,0.0002005803416155966
cc_psychiatricevaluation,0.0001991277218618836
maligneopls,0.00018990613438885757
"urineculture,routine_count",0.00018574228302222493
asthma,0.00018411794358353975
meds_immunosuppressants,0.00017895758873129564
spo2_max,0.00017042160467365815
mooddisorders,0.00016555339540807846
othliverdx,0.000164210473856957
resp_last,0.00016163500349008892
schizophreniaandotherpsychoticdisorde,0.0001575329096898297
otdxkidney,0.00014641433761145684
othergidx,0.00013767837425196364
conduction,0.00013540974465134703
meds_herbals,0.0001322071321293021
thyroiddsor,0.00012142902399333075
acutemi,0.00011314775560568489
meds_antiinfectives/miscellaneous,0.00011311472631046144
cc_backpain,0.00011298676981647403
meds_contraceptives,0.00010744270835631689
attentiondeficitconductdisruptivebeha,0.0001060543270393911
echo_count,0.00010426874279836485
proteinua_last,0.00010357756519362621
otcirculdx,0.00010254369386654484
