cluster,age,esi,n_edvisits,n_admissions,complexity_score,pressure_index,admitted,count,pct_of_total
0,65.72,2.47,6.82,2.19,1.69,3.95,0.55,205482,36.7
1,40.71,3.33,1.83,0.2,0.23,0.85,0.15,355002,63.3
