,admitted
admitted,1.0
age,0.3731823634590551
n_admissions,0.18506397926871107
triage_vital_hr,0.07624669133685008
triage_vital_temp,0.02779457097614611
triage_vital_sbp,0.016701084915906463
n_edvisits,-0.01967212675404697
esi,-0.441315976831061
